subject,Window1_alpha,Window1_beta,Window1_theta,Window1_alpha_beta,Window1_theta_beta,Window2_alpha,Window2_beta,Window2_theta,Window2_alpha_beta,Window2_theta_beta,Window3_alpha,Window3_beta,Window3_theta,Window3_alpha_beta,Window3_theta_beta,Window4_alpha,Window4_beta,Window4_theta,Window4_alpha_beta,Window4_theta_beta,Window5_alpha,Window5_beta,Window5_theta,Window5_alpha_beta,Window5_theta_beta,Window6_alpha,Window6_beta,Window6_theta,Window6_alpha_beta,Window6_theta_beta,Window7_alpha,Window7_beta,Window7_theta,Window7_alpha_beta,Window7_theta_beta,Window8_alpha,Window8_beta,Window8_theta,Window8_alpha_beta,Window8_theta_beta,Window9_alpha,Window9_beta,Window9_theta,Window9_alpha_beta,Window9_theta_beta,Window10_alpha,Window10_beta,Window10_theta,Window10_alpha_beta,Window10_theta_beta
Subject10,1.1088228349357664e-10,1.6979455131692126e-10,1.4318697758703047e-10,0.6530379369277582,0.8432954796044791,1.4845738217370702e-10,2.235454707146908e-10,1.5608222868352647e-10,0.6641037355804087,0.6982124405586052,1.3386518827582414e-10,1.9893631386170312e-10,1.5761207053482358e-10,0.6729047385933006,0.792274007069381,1.3726448314724095e-10,1.9542716714561873e-10,1.5953734902514095e-10,0.7023817883260878,0.8163519502192078,1.1620373443533506e-10,1.9229732488914921e-10,1.6230480752247358e-10,0.6042919967936179,0.8440305012877065,1.4631940970531577e-10,2.0870566492788344e-10,1.4768258961792833e-10,0.7010802019000072,0.7076117922767399,1.3480761518350454e-10,1.9798922473735355e-10,1.5970715461296527e-10,0.6808835953690722,0.8066456890511486,1.380124955642145e-10,2.1659666218584665e-10,1.6791007781066642e-10,0.6371866222287188,0.775220061639705,1.3374177188914437e-10,1.9973746940886732e-10,1.7329329002652554e-10,0.6695877958450139,0.8676053148134669,1.212942400112169e-10,1.8724396936245147e-10,1.62567697826296e-10,0.6477871646505501,0.8682132641164577
Subject11,1.100868782152136e-10,2.0432365454122596e-10,1.404263651583191e-10,0.538786752137901,0.687274145882045,1.3342845300398203e-10,2.3221183120290277e-10,1.7905464673025947e-10,0.5745979966343511,0.7710832208794932,1.2761471880040254e-10,2.1775107039931923e-10,1.5850325462382278e-10,0.5860578254167862,0.7279103351049168,1.2980723324272657e-10,2.38517316348448e-10,1.551003626278351e-10,0.5442256152718582,0.6502687729441423,1.351505316322412e-10,2.535805701972338e-10,1.6921736981660272e-10,0.5329687977557656,0.6673120487306509,1.4290826164770566e-10,2.442874625438176e-10,1.7405820805235685e-10,0.5850003932235055,0.7125138811458088,1.1920136961909818e-10,2.190570820819469e-10,1.6129339776941524e-10,0.5441566576446327,0.7363076155149237,1.4726610953528796e-10,2.5911236555927314e-10,1.8808337822807126e-10,0.5683484430294399,0.7258757328007425,1.0500082409615313e-10,1.9235994746665032e-10,1.4000518849539325e-10,0.5458559615917822,0.7278292094546663,1.438991074599194e-10,2.5326032721894385e-10,2.0044981861576493e-10,0.5681865337539364,0.7914773735661955
Subject12,1.3792439570695783e-10,1.3867154157332674e-10,1.9524631514950516e-10,0.9946121182623917,1.4079768129372299,1.8144854451257962e-10,1.6435746549213311e-10,1.93248486996914e-10,1.1039872388471734,1.1757816197656306,1.5263693880855672e-10,1.650594053105745e-10,1.9628304958774808e-10,0.9247394204611136,1.1891661018554103,1.737413007797701e-10,1.6157923280901758e-10,1.9400892177311275e-10,1.0752699945365365,1.200704560854217,1.7038484358285937e-10,1.6302815632203568e-10,1.8895869398891572e-10,1.0451252558256976,1.1590555782012186,1.5639441263032481e-10,1.7142437595460576e-10,1.9167988383733309e-10,0.9123230681716994,1.1181600211167817,1.8337764026906513e-10,1.6276702634889625e-10,1.8339388513903165e-10,1.126626469638816,1.1267262740668438,1.8135146329092903e-10,1.564578532890576e-10,1.8819415656829605e-10,1.1591074495690556,1.2028425075001206,1.4252545416882578e-10,1.628335731900871e-10,1.8376225881906648e-10,0.8752829737541028,1.1285280745178259,1.7735984578405742e-10,1.5857861436724686e-10,1.8240925289266974e-10,1.118434831151417,1.150276496112107
Subject13,6.533164205086193e-11,7.463094540690823e-11,8.301789876476208e-11,0.8753961469288113,1.1123790314074933,6.356469424513916e-11,7.244050426151403e-11,8.59893614891232e-11,0.8774744860370831,1.1870342754475738,5.86482444771886e-11,6.865990629801079e-11,8.168874880303899e-11,0.8541847438974404,1.1897591069885523,6.560519378508215e-11,7.366948066436027e-11,8.503456656215725e-11,0.890534223852898,1.1542712911141122,6.217560959096902e-11,7.56881269279327e-11,8.09960443398187e-11,0.8214711093348924,1.0701287986283503,7.033975927021112e-11,8.265079478218232e-11,8.704151573500976e-11,0.8510475846673262,1.0531237596008451,6.860969793947537e-11,7.704831118920218e-11,8.828618329531095e-11,0.8904763372554046,1.1458548790058838,7.085401985597858e-11,8.18455273405082e-11,8.748112955463529e-11,0.8657042377062241,1.068856569164505,6.793832692015398e-11,7.748121559606984e-11,9.054665341314854e-11,0.8768361001760031,1.1686271661662138,6.699811173214032e-11,7.682332291753732e-11,8.391950189304507e-11,0.8721064019068343,1.0923701124347984
Subject14,6.456837667247993e-11,1.464460183082346e-10,9.662337798681962e-11,0.4409022342729634,0.6597883582157217,7.303642601889976e-11,1.5002849391039995e-10,1.0102127245056374e-10,0.4868170313201877,0.6733472410307317,7.106781786191918e-11,1.457517684540664e-10,8.890491669178277e-11,0.4875948924373852,0.6099748746431239,7.446597976209588e-11,1.548255849197792e-10,9.392927791607374e-11,0.4809668880029062,0.6066780110324914,8.004992797789208e-11,1.6195736451101107e-10,7.109325556608675e-11,0.4942654396703874,0.43896278369763975,8.389630290635033e-11,1.7114709831724369e-10,8.044760555342521e-11,0.49019997260390286,0.470049485760518,7.845772423132872e-11,1.5421835390678554e-10,9.503265071771819e-11,0.508744401971448,0.6162214049772502,8.314410704124966e-11,1.8287075818007768e-10,9.216475045915936e-11,0.45466048190917135,0.5039884526994868,7.781143579869022e-11,1.6693664762972325e-10,9.796413267718608e-11,0.46611356405863164,0.5868341917017355,6.896853936846578e-11,1.5884464437217915e-10,8.834421853325382e-11,0.43418863532389435,0.5561674356880418
Subject15,8.658388629552461e-11,1.4312879162652333e-10,9.201472491333405e-11,0.6049368915337064,0.6428806103067994,1.3094305850464936e-10,1.3712894761739938e-10,9.278767798289366e-11,0.9548899833315345,0.6766454464580202,1.5602953739563456e-10,1.3752466759675965e-10,9.424366954291928e-11,1.1345567316921907,0.685285565054075,1.4008508282832742e-10,1.4694470996802552e-10,9.11059846181729e-11,0.9533183117569137,0.6200017995748002,8.749537108277938e-11,1.4491419170205268e-10,9.79948684022977e-11,0.6037736542924114,0.6762268570891778,1.6477974532321483e-10,1.5354418061710592e-10,9.694843988731332e-11,1.0731747999888521,0.6314041958325614,1.503807309755542e-10,1.4693512350907887e-10,9.722505006376255e-11,1.0234498558560263,0.661686925098989,1.305056597132531e-10,1.5329419824193735e-10,1.000644321055317e-10,0.851341154524856,0.652760725801276,8.718705163204267e-11,1.3860112799220873e-10,9.503184205355955e-11,0.6290500870739216,0.6856498459298371,1.0838201226942402e-10,1.4464871303287437e-10,9.522351583830577e-11,0.7492774045268692,0.6583087664019817
Subject16,9.842889791130733e-11,6.082609367767862e-11,1.3309772764566585e-10,1.6182018597624956,2.1881682613215188,9.370958701467243e-11,5.770679488574016e-11,1.1591993883219843e-10,1.6238917306050014,2.008774513672449,1.016053677054409e-10,6.491165170187606e-11,1.196810777840217e-10,1.565287048496169,1.843753388585592,9.480294690850629e-11,6.105317058242209e-11,1.0822601440098134e-10,1.5527931801759882,1.7726518273915959,9.836126694109887e-11,6.961992528619562e-11,1.1791045197239568e-10,1.4128321243775042,1.6936308318011828,9.971793700981296e-11,6.630475818781123e-11,1.1526586140748683e-10,1.5039333486045963,1.7384251833177802,1.0106278373282054e-10,6.450607638664367e-11,1.132320820154808e-10,1.5667172674874723,1.7553707861066885,1.052980084972941e-10,6.761418305809438e-11,1.2590461269081655e-10,1.5573361051603865,1.8621035853178731,9.819095648320113e-11,6.438938371959115e-11,1.2287942850892202e-10,1.5249556807502958,1.9083802547955533,9.803302585312785e-11,6.446737344939589e-11,1.2508441929006933e-10,1.5206610818428883,1.9402747870324701
Subject17,6.8886365062145e-11,4.57614339977812e-11,8.255302150231185e-11,1.5053366785989497,1.8039867698707723,6.491922844842308e-11,4.6600085548205967e-11,8.774715188697642e-11,1.3931139328331634,1.882982635218672,8.564517900375917e-11,6.268610802738752e-11,9.818915992918134e-11,1.3662545290950405,1.5663623571315444,8.618281472921382e-11,6.313527970767253e-11,1.09266981016398e-10,1.3650500184406473,1.7306802396746064,7.053021296556856e-11,5.379891731411485e-11,1.1126226385516471e-10,1.310996884077889,2.06811343814857,7.912402533049957e-11,5.491374053381436e-11,1.2098940021514896e-10,1.4408784497529756,2.2032627724685234,6.886177370641539e-11,4.858442862439391e-11,1.165297279683924e-10,1.4173630452420378,2.398499504219416,7.112386963200859e-11,5.278385906416911e-11,1.216829023147834e-10,1.3474549018013937,2.305305153358606,7.946310335750977e-11,5.1176709296019356e-11,1.2567659060209643e-10,1.552720064470628,2.4557380169785916,6.879321525815626e-11,4.5932155418280944e-11,1.146539929346105e-10,1.4977136307166774,2.4961596487365876
Subject18,2.7265452341693567e-10,2.2848296983296925e-10,3.336845049114408e-10,1.1933253651957418,1.4604349074916976,2.1419745396220166e-10,1.9424760558631547e-10,2.9287649671006995e-10,1.1027031881071054,1.507748297983153,2.957435875494982e-10,2.6574967862373086e-10,3.0775788848883464e-10,1.112865268854135,1.1580743581051787,2.453600124762665e-10,2.3390197037601157e-10,2.731195150406688e-10,1.0489865138024936,1.1676665852861892,3.081545514265497e-10,2.904008309181256e-10,3.4255556747704554e-10,1.0611352262742992,1.1795956863967247,2.3950848880427116e-10,2.2736744113134388e-10,3.2866799113577937e-10,1.0533983564775826,1.445536746600042,2.762804350752521e-10,2.516758090315935e-10,3.700221721093886e-10,1.0977631745312872,1.4702333670175618,2.4647245579159065e-10,2.1321681263577558e-10,3.117786827281615e-10,1.155971017222847,1.4622612488854374,2.468274723700139e-10,2.1338692589918899e-10,3.4868364183339647e-10,1.1567131928533585,1.6340440744627724,2.4415594423482003e-10,2.1360788405662948e-10,3.2075463811759965e-10,1.1430099844540007,1.501604866010304
Subject19,7.262090140276118e-11,1.3776862380909252e-10,9.28694689003623e-11,0.5271222096505279,0.674097383951897,7.643350449297617e-11,1.3834031357650387e-10,9.036314864553201e-11,0.5525034786819932,0.653194620637896,7.284826733350343e-11,1.3409105717406732e-10,9.19316014936099e-11,0.5432746140478039,0.6855908472275741,7.304057494611666e-11,1.3625671701767425e-10,9.259526043574185e-11,0.536051187382141,0.6795647397238482,7.83560006512282e-11,1.3074995416856064e-10,9.374000730590998e-11,0.5992812857908383,0.7169410337617552,7.403503402216401e-11,1.298819038947049e-10,9.24309935472661e-11,0.5700180841372954,0.7116541317580299,7.166944211338674e-11,1.3048788342803638e-10,9.088069122973938e-11,0.549242122950919,0.6964684294221062,7.386806055137488e-11,1.2552245634721254e-10,9.257827841270319e-11,0.5884848233613719,0.737543552817504,8.321539794284317e-11,1.4402342482586761e-10,9.228210756964259e-11,0.5777907173326509,0.6407437379108074,8.392673790558197e-11,1.5137620101589481e-10,9.647963466323978e-11,0.5544249184636988,0.6373500855204394
Subject20,1.364482327496704e-11,1.1510782795397595e-11,1.3382565940901827e-11,1.1853949047168806,1.1626112818541443,1.6148366409624903e-11,1.2839411411868477e-11,1.755805128009807e-11,1.257718589397151,1.3675121636703522,1.4565509379837773e-11,1.4688222807978262e-11,1.652151887578381e-11,0.9916454543381631,1.1248140154035347,1.810172856655357e-11,1.661156490422044e-11,2.690310036075702e-11,1.089706398579855,1.6195403934473294,1.929368404003492e-11,1.6317212500791794e-11,2.779705202300048e-11,1.1824129911342818,1.7035417061371005,2.0755792803180492e-11,1.6675775485311358e-11,2.2325398744018877e-11,1.2446673212566914,1.3387922357004576,1.8634118469855167e-11,1.8539657041795004e-11,2.755385805256658e-11,1.0050951011578702,1.4862118533503803,2.266638856596017e-11,2.282361996866709e-11,1.9067721303612277e-11,0.9931110225756137,0.8354380825560969,1.792476521115118e-11,1.656819666741672e-11,2.145368246611488e-11,1.0818778634129995,1.2948713065620494,1.8589859694392627e-11,1.8805542045728518e-11,1.7466733025115646e-11,0.9885309154710124,0.9288077409650115
Subject21,1.2070215580279e-10,1.439633872642779e-10,1.3871906695395256e-10,0.8384225885239379,0.9635718469120333,1.167940407153784e-10,1.2015542895930098e-10,1.322444741564547e-10,0.9720246661092512,1.1006117268429754,1.0689732008144114e-10,1.134604171608462e-10,1.325184442048963e-10,0.9421551828943046,1.1679707119094462,1.0699940379536345e-10,1.328219956841929e-10,1.2061175851883452e-10,0.8055849729119634,0.9080706693009619,1.1103915267451324e-10,1.2786994639440745e-10,1.214272273745547e-10,0.8683756879980179,0.949615064356244,1.1634108480191872e-10,1.3912558656027464e-10,1.176094382855133e-10,0.8362306868083911,0.8453472951545135,1.1789128442763636e-10,1.3832341289695456e-10,1.0524442727843695e-10,0.8522872734166896,0.760857652903922,1.1329970385697534e-10,1.3603947589143452e-10,1.0302370655546122e-10,0.8328443131271211,0.757307435068911,1.1117821805351483e-10,1.2538278553619316e-10,9.6414938320652e-11,0.8867103851463084,0.7689647179901002,1.1543664833802316e-10,1.1987855343898756e-10,1.198658381226051e-10,0.9629466241163386,0.9998939316832104
Subject22,1.7302164837366378e-10,2.868114929670948e-10,1.152033887412116e-10,0.6032591183279887,0.4016693597227242,1.6584464663626048e-10,2.772533519344272e-10,1.056239814433619e-10,0.5981700328567503,0.3809655706825968,1.6372404218105285e-10,2.7366690897068533e-10,1.0643609564166596e-10,0.5982602821687537,0.3889257054935611,2.0716748884559874e-10,3.120085722100175e-10,1.0910921495018898e-10,0.6639801188095283,0.3496994142736116,1.8533120220350468e-10,3.1534053472855595e-10,1.0982105915607303e-10,0.587717663265324,0.3482617902281628,1.7716140371834195e-10,3.038754433610797e-10,1.0471487207707249e-10,0.5830066482464332,0.3445980067321371,2.10161753478964e-10,3.102462817528583e-10,1.1701347380568793e-10,0.6774029725403076,0.3771631786997553,1.6894657073529968e-10,2.847684186016141e-10,1.094439324249897e-10,0.5932770619892823,0.3843260884139677,1.8883924215008285e-10,3.2252851819912704e-10,1.2477982399128646e-10,0.5854962631040729,0.38687997169369126,1.7365161333553877e-10,2.6344832430172607e-10,1.122878473312138e-10,0.6591486728784671,0.4262234258989292
Subject23,1.0309905935048093e-10,1.1592698297505562e-10,6.779056920854552e-11,0.889344798808963,0.5847695460437562,7.964886144221585e-11,9.693324420009027e-11,6.719776671287117e-11,0.8216877718216479,0.6932375705300967,1.0621322789231178e-10,1.1051234794629647e-10,7.189075258434205e-11,0.9610982832789522,0.6505223526630471,1.081611803497639e-10,1.0784774011706792e-10,6.794358586293407e-11,1.0029063217491228,0.629995452748308,9.95355489507863e-11,1.0956999301450974e-10,7.050446506515958e-11,0.9084197800177406,0.6434650867945485,9.92210536637677e-11,1.0927687521793454e-10,6.691381606118629e-11,0.9079785038315547,0.6123328099173573,1.0908533031584683e-10,1.0670936119870543e-10,6.766639382782296e-11,1.022265798337196,0.6341186290284331,1.171155892129876e-10,1.0245829480812091e-10,6.564860238136256e-11,1.143056200889505,0.6407348717281132,1.2221192660806514e-10,1.10297469903762e-10,6.758075162746711e-11,1.1080211242805378,0.6127135254002964,9.571975535180797e-11,1.0423116910426241e-10,6.456591311167617e-11,0.9183409931443781,0.6194491884389295
