subject,file,window_idx,alpha_power,beta_power,theta_power,alpha_beta_ratio,theta_beta_ratio,alpha_rel_power,beta_rel_power,theta_rel_power
Subject05,Subject05_2.edf,1,1.6946216802713373e-10,2.8003512571664984e-10,1.9721565611015563e-10,0.6051461137007577,0.7042532811034067,0.17092698755113642,0.28245573041167893,0.1989203749088842
Subject05,Subject05_2.edf,2,2.063693200589692e-10,2.8676052499059574e-10,1.9047688037191545e-10,0.7196573519515527,0.6642367542679108,0.20716814842139117,0.28787053708212196,0.19121419120078897
Subject05,Subject05_2.edf,3,1.953731404683901e-10,3.0016107579594406e-10,1.9009190778683295e-10,0.6508943238236824,0.6332996617991252,0.1943641627987614,0.29861093526975013,0.1891102043158532
Subject05,Subject05_2.edf,4,2.3034424545325275e-10,3.0786949647794745e-10,1.967653430297816e-10,0.7481879435553376,0.6391193193245626,0.2172187678649313,0.29032647443197585,0.18555325872086442
Subject05,Subject05_2.edf,5,1.7701273850164852e-10,3.1686048488693286e-10,1.862533833072133e-10,0.5586456719739383,0.5878088060544222,0.18377309276166146,0.3289618124352618,0.19336665020507002
Subject05,Subject05_2.edf,6,2.0217398014330615e-10,2.853398208242444e-10,1.9234916919755988e-10,0.7085375590385458,0.6741055932604573,0.20544595458541373,0.28995774742583136,0.1954621393489559
Subject05,Subject05_2.edf,7,1.907839507535629e-10,3.1079159900027433e-10,2.009322729722858e-10,0.613864568306412,0.6465177103197968,0.19233061192896722,0.31331114688633555,0.2025612053026232
Subject05,Subject05_2.edf,8,1.8115635914268242e-10,3.0232505094590016e-10,1.8322291109555668e-10,0.5992105469787868,0.6060460769701274,0.1939853227873509,0.3237348270410506,0.19619822190683142
Subject05,Subject05_2.edf,9,2.0273465134242626e-10,3.026049428386013e-10,1.9978947907151951e-10,0.669964771363823,0.6602320411470612,0.20270337776010847,0.3025582633956596,0.19975865980762653
Subject05,Subject05_2.edf,10,1.9725503656748033e-10,3.068968155045684e-10,1.9363672616907181e-10,0.6427405779469355,0.6309505879059516,0.19822490735584025,0.3084057770072915,0.1945888063163424
Subject06,Subject06_2.edf,1,3.734772768509985e-11,7.385104733058414e-11,4.212499294631977e-11,0.5057169672613828,0.5704048144063955,0.1176562806716844,0.23265242870697092,0.1327060654177969
Subject06,Subject06_2.edf,2,3.7627787786894725e-11,7.533250340467841e-11,5.4338252399135715e-11,0.49948941142659425,0.7213121819042206,0.1185638522524259,0.23737010142776616,0.17121794577968819
Subject06,Subject06_2.edf,3,4.0087312381515635e-11,7.303814431585128e-11,4.9003732303525616e-11,0.5488544753842491,0.6709334247542001,0.15134874431135859,0.2757538675536906,0.18501248674701373
Subject06,Subject06_2.edf,4,3.8324895078473356e-11,6.692869542028917e-11,4.30458651398255e-11,0.5726227717095964,0.6431600805829589,0.14908932222970087,0.26036219583895803,0.16745457085654036
Subject06,Subject06_2.edf,5,3.7384875632131826e-11,6.472692709098065e-11,4.929906838968799e-11,0.5775784099804918,0.7616469776232827,0.11673634516550478,0.20211341550915596,0.15393907205966736
Subject06,Subject06_2.edf,6,3.6493916932950265e-11,6.665304177767847e-11,6.801516256751744e-11,0.5475206526159135,1.020435988418688,0.10609419100119785,0.19377203488910774,0.19773195794996717
Subject06,Subject06_2.edf,7,3.8594091225709306e-11,7.340298694220662e-11,6.193259666572475e-11,0.5257836613119862,0.8437340120026313,0.11254602921341149,0.21405387328426254,0.1806045332908337
Subject06,Subject06_2.edf,8,4.744939497088575e-11,8.534802789916298e-11,5.786490079149458e-11,0.5559518613241571,0.6779875553757472,0.1389110461891149,0.2498616442406701,0.16940308536089657
Subject06,Subject06_2.edf,9,4.01603185999817e-11,7.700494179261123e-11,4.7007231434470896e-11,0.5215291079388253,0.6104443473390344,0.1330044793721363,0.2550279118605544,0.15568034720895293
Subject06,Subject06_2.edf,10,4.9256338022697874e-11,7.217983871190987e-11,6.221065557629958e-11,0.6824113062830999,0.8618841034627397,0.14889700030594383,0.21819245803083687,0.18805661107223928
Subject07,Subject07_2.edf,1,3.7050207727143445e-11,4.219006785210664e-11,3.935111650700978e-11,0.8781736937949355,0.9327104342413353,0.16717101864147108,0.19036213430518403,0.1775527489508956
Subject07,Subject07_2.edf,2,3.902857196668126e-11,4.78869887736126e-11,3.4605716342882765e-11,0.8150141189956668,0.7226538404091869,0.16946247175662865,0.20792581110797864,0.15025838591737595
Subject07,Subject07_2.edf,3,4.0368303517499715e-11,4.6787840086809375e-11,4.066383981989078e-11,0.8627947655331181,0.8691112849929334,0.1747404473903272,0.2025284046343926,0.17601972199936572
Subject07,Subject07_2.edf,4,5.5457456255571435e-11,5.218554784617166e-11,3.6311882535667356e-11,1.0626975962587275,0.6958225798971123,0.22680594212290028,0.2134247248901102,0.1485057426868679
Subject07,Subject07_2.edf,5,5.7078949431018355e-11,5.555565726219473e-11,4.0697176399242035e-11,1.027419208841945,0.7325478340967483,0.2151585772430941,0.2094165413605708,0.15340763379771827
Subject07,Subject07_2.edf,6,7.550324134286219e-11,5.528363995855919e-11,4.2916312737411634e-11,1.3657429467281763,0.7762931813024948,0.26459379649545683,0.1937361617933502,0.15039606137189465
Subject07,Subject07_2.edf,7,7.108319048679423e-11,5.276426581780753e-11,4.728312044121784e-11,1.347184299545474,0.8961201242614495,0.26942625892391336,0.19999213100599153,0.17921697328840122
Subject07,Subject07_2.edf,8,5.012232513611873e-11,5.892304378545215e-11,4.455460959964006e-11,0.8506404611177558,0.7561491521359663,0.19326200647830719,0.22719587806152283,0.17179397056500686
Subject07,Subject07_2.edf,9,3.956006111844994e-11,4.8879836238837893e-11,4.351392577912347e-11,0.8093329307641409,0.8902224133179298,0.16517632523849865,0.20408946548430387,0.18168501649620336
Subject07,Subject07_2.edf,10,4.662659465520022e-11,5.469233616921671e-11,3.8107534775880825e-11,0.8525251967833064,0.6967618764350653,0.18898271977897274,0.22167405783668362,0.15445403249526285
Subject08,Subject08_2.edf,1,3.0450628263550035e-10,3.574165837946974e-10,3.8122958633803557e-10,0.8519646161981418,1.066625343151443,0.2186260243393623,0.2566139722034141,0.2737109661589214
Subject08,Subject08_2.edf,2,3.0168876639504207e-10,3.4835452312897586e-10,4.0272021376763733e-10,0.8660394694612416,1.1560642593365522,0.2192732231196327,0.2531907965534658,0.29270483068841413
Subject08,Subject08_2.edf,3,3.1967082174009837e-10,3.6453324986866934e-10,3.809273876712155e-10,0.8769318624714382,1.0449729559881096,0.23394959541624885,0.266781953568107,0.27877992662434736
Subject08,Subject08_2.edf,4,2.8433792294029596e-10,3.4012221059763575e-10,3.5457696675437067e-10,0.8359875188411834,1.0424987128342373,0.2242015437983006,0.2681876687693626,0.2795852994900753
Subject08,Subject08_2.edf,5,2.9308947506289877e-10,3.396940563509262e-10,3.6675328089119357e-10,0.8628042486563796,1.0796576331977779,0.2249076500041783,0.2606705406868598,0.2814349390023601
Subject08,Subject08_2.edf,6,2.6549753088144503e-10,3.087751727592257e-10,3.4884518049468546e-10,0.859840927328936,1.1297708212010467,0.21238821968608282,0.24700873491316463,0.2790632612866777
Subject08,Subject08_2.edf,7,2.9060296788297454e-10,3.353241673475389e-10,3.474414556908378e-10,0.8666329366644959,1.036136042442596,0.22766005681326665,0.2626949048226652,0.2721876590527908
Subject08,Subject08_2.edf,8,3.1176945043467755e-10,3.640764183400922e-10,3.7834441298841145e-10,0.8563297009350562,1.0391895600197627,0.22916943061225525,0.26761822036771254,0.2781060606771951
Subject08,Subject08_2.edf,9,2.9646653666903157e-10,3.4406136054801575e-10,3.6885650347673413e-10,0.8616676286951378,1.07206604917572,0.22130624529830495,0.2568348141770615,0.2753438845255825
Subject08,Subject08_2.edf,10,2.57958704622684e-10,3.0225729524512995e-10,3.291663001018894e-10,0.8534407892900654,1.0890268168215305,0.2101649700868603,0.24625606453809878,0.26817945808692306
Subject09,Subject09_2.edf,1,2.2505278732954594e-10,3.8779571963853206e-10,1.765174665121649e-10,0.580338502805858,0.45518157517751473,0.2070436819557232,0.3567636490680785,0.16239223974888606
Subject09,Subject09_2.edf,2,2.3675138683059717e-10,3.8028917566083307e-10,1.722339084601831e-10,0.622556207178896,0.4529024739157778,0.21395371931370885,0.3436697230652263,0.15564886778619125
Subject09,Subject09_2.edf,3,2.2131439339699063e-10,3.790335163469684e-10,1.6926791546288695e-10,0.583891354859497,0.44657769870656666,0.20646989079476205,0.3536101178350986,0.15791439266215618
Subject09,Subject09_2.edf,4,2.408828263232983e-10,3.9507567393513443e-10,1.6888588812464974e-10,0.6097131314717384,0.4274773145166571,0.2212319042199229,0.36284589063369627,0.15510838691149717
Subject09,Subject09_2.edf,5,2.5888663466246365e-10,4.455501772964637e-10,1.8446533321434788e-10,0.5810493359768177,0.41401696736753146,0.22030549254025752,0.37915109595624275,0.15697498692187953
Subject09,Subject09_2.edf,6,2.474270753328783e-10,4.135571501072148e-10,1.7077805336147018e-10,0.5982899226110171,0.412949101030404,0.22496526587482507,0.37601379761344905,0.15527455969950205
Subject09,Subject09_2.edf,7,2.6904305490006474e-10,4.4748189752198555e-10,1.694672140670395e-10,0.6012378520560068,0.3787130049405256,0.23079968783540733,0.3838741806527307,0.14537814447407782
Subject09,Subject09_2.edf,8,2.221932787592957e-10,3.5874796019411674e-10,1.5425438070035726e-10,0.6193576087208079,0.42997981261521595,0.21742691465218938,0.35105230256435005,0.15094540327475933
Subject09,Subject09_2.edf,9,2.27880597424999e-10,3.7649686665879604e-10,1.5111694090678127e-10,0.6052655881237865,0.4013763573860828,0.22943574535644692,0.3790662311856455,0.1521482230813651
Subject09,Subject09_2.edf,10,2.3341546607661203e-10,3.9952817486458154e-10,1.5865143870212102e-10,0.5842277985919948,0.3970969976169898,0.2219927428385468,0.37997634377130884,0.15088746527706792
Subject10,Subject10_2.edf,1,1.1088228349357664e-10,1.6979455131692126e-10,1.4318697758703047e-10,0.6530379369277582,0.8432954796044791,0.1700137481458471,0.26034283543416054,0.21954593626904043
Subject10,Subject10_2.edf,2,1.4845738217370702e-10,2.235454707146908e-10,1.5608222868352647e-10,0.6641037355804087,0.6982124405586052,0.20160039222862117,0.30356762268838594,0.2119546907118318
Subject10,Subject10_2.edf,3,1.3386518827582414e-10,1.9893631386170312e-10,1.5761207053482358e-10,0.6729047385933006,0.792274007069381,0.1849939852120405,0.2749185354211775,0.21781080967578187
Subject10,Subject10_2.edf,4,1.3726448314724095e-10,1.9542716714561873e-10,1.5953734902514095e-10,0.7023817883260878,0.8163519502192078,0.18683499554307267,0.26600204995111953,0.2171512922399036
Subject10,Subject10_2.edf,5,1.1620373443533506e-10,1.9229732488914921e-10,1.6230480752247358e-10,0.6042919967936179,0.8440305012877065,0.1634681215187079,0.27051180949950043,0.22832021817610793
Subject10,Subject10_2.edf,6,1.4631940970531577e-10,2.0870566492788344e-10,1.4768258961792833e-10,0.7010802019000072,0.7076117922767399,0.21106914182173428,0.3010627617920359,0.21303556045944771
Subject10,Subject10_2.edf,7,1.3480761518350454e-10,1.9798922473735355e-10,1.5970715461296527e-10,0.6808835953690722,0.8066456890511486,0.18928116450394247,0.27799342764506296,0.22424219999444242
Subject10,Subject10_2.edf,8,1.380124955642145e-10,2.1659666218584665e-10,1.6791007781066642e-10,0.6371866222287188,0.775220061639705,0.18588401958792047,0.291726180530509,0.22615198765277694
Subject10,Subject10_2.edf,9,1.3374177188914437e-10,1.9973746940886732e-10,1.7329329002652554e-10,0.6695877958450139,0.8676053148134669,0.17683430678690604,0.2640942799199957,0.2291296008704237
Subject10,Subject10_2.edf,10,1.212942400112169e-10,1.8724396936245147e-10,1.62567697826296e-10,0.6477871646505501,0.8682132641164577,0.17247629828008793,0.26625457818870274,0.23116575641516418
Subject11,Subject11_2.edf,1,1.100868782152136e-10,2.0432365454122596e-10,1.404263651583191e-10,0.538786752137901,0.687274145882045,0.2022614792331627,0.3754017307043853,0.25800390383249794
Subject11,Subject11_2.edf,2,1.3342845300398203e-10,2.3221183120290277e-10,1.7905464673025947e-10,0.5745979966343511,0.7710832208794932,0.20973327383073692,0.36500871054063555,0.28145209217274386
Subject11,Subject11_2.edf,3,1.2761471880040254e-10,2.1775107039931923e-10,1.5850325462382278e-10,0.5860578254167862,0.7279103351049168,0.22119667990446407,0.37743149278342264,0.2747362843911301
Subject11,Subject11_2.edf,4,1.2980723324272657e-10,2.38517316348448e-10,1.551003626278351e-10,0.5442256152718582,0.6502687729441423,0.21488560085612238,0.3948465394242424,0.256756374692643
Subject11,Subject11_2.edf,5,1.351505316322412e-10,2.535805701972338e-10,1.6921736981660272e-10,0.5329687977557656,0.6673120487306509,0.2090582537540085,0.3922523319081993,0.26175470722503574
Subject11,Subject11_2.edf,6,1.4290826164770566e-10,2.442874625438176e-10,1.7405820805235685e-10,0.5850003932235055,0.7125138811458088,0.2210933713191694,0.37793713282975244,0.26928545334164594
Subject11,Subject11_2.edf,7,1.1920136961909818e-10,2.190570820819469e-10,1.6129339776941524e-10,0.5441566576446327,0.7363076155149237,0.20491496055980812,0.3765734695717534,0.27727391344655944
Subject11,Subject11_2.edf,8,1.4726610953528796e-10,2.5911236555927314e-10,1.8808337822807126e-10,0.5683484430294399,0.7258757328007425,0.2149232983429867,0.3781541077114447,0.27449289004665584
Subject11,Subject11_2.edf,9,1.0500082409615313e-10,1.9235994746665032e-10,1.4000518849539325e-10,0.5458559615917822,0.7278292094546663,0.20124221584520519,0.3686727452025228,0.2683307926882338
Subject11,Subject11_2.edf,10,1.438991074599194e-10,2.5326032721894385e-10,2.0044981861576493e-10,0.5681865337539364,0.7914773735661955,0.21129368749053482,0.37187380365131895,0.294329701412017
Subject12,Subject12_2.edf,1,1.3792439570695783e-10,1.3867154157332674e-10,1.9524631514950516e-10,0.9946121182623917,1.4079768129372299,0.17424423465300362,0.17518812756616314,0.24666082151504723
Subject12,Subject12_2.edf,2,1.8144854451257962e-10,1.6435746549213311e-10,1.93248486996914e-10,1.1039872388471734,1.1757816197656306,0.21700357279267526,0.19656347931999546,0.2311157261016323
Subject12,Subject12_2.edf,3,1.5263693880855672e-10,1.650594053105745e-10,1.9628304958774808e-10,0.9247394204611136,1.1891661018554103,0.185340934749022,0.20042503936579592,0.23833866277684065
Subject12,Subject12_2.edf,4,1.737413007797701e-10,1.6157923280901758e-10,1.9400892177311275e-10,1.0752699945365365,1.200704560854217,0.21232137574115764,0.19745866323803868,0.23708951753008994
Subject12,Subject12_2.edf,5,1.7038484358285937e-10,1.6302815632203568e-10,1.8895869398891572e-10,1.0451252558256976,1.1590555782012186,0.21232913424262692,0.2031614230534282,0.2354753806653736
Subject12,Subject12_2.edf,6,1.5639441263032481e-10,1.7142437595460576e-10,1.9167988383733309e-10,0.9123230681716994,1.1181600211167817,0.1981428130896113,0.21718492056403949,0.24284749536413291
Subject12,Subject12_2.edf,7,1.8337764026906513e-10,1.6276702634889625e-10,1.8339388513903165e-10,1.126626469638816,1.1267262740668438,0.229081129613034,0.20333370090840744,0.22910142321675192
Subject12,Subject12_2.edf,8,1.8135146329092903e-10,1.564578532890576e-10,1.8819415656829605e-10,1.1591074495690556,1.2028425075001206,0.22204223844386844,0.1915631191279303,0.230420262556384
Subject12,Subject12_2.edf,9,1.4252545416882578e-10,1.628335731900871e-10,1.8376225881906648e-10,0.8752829737541028,1.1285280745178259,0.18339528291604654,0.2095268483624915,0.23645693074231103
Subject12,Subject12_2.edf,10,1.7735984578405742e-10,1.5857861436724686e-10,1.8240925289266974e-10,1.118434831151417,1.150276496112107,0.2188211012935881,0.19564939788965088,0.22505090387095109
Subject13,Subject13_2.edf,1,6.533164205086193e-11,7.463094540690823e-11,8.301789876476208e-11,0.8753961469288113,1.1123790314074933,0.1986053646665076,0.22687484444989056,0.25237081971989495
Subject13,Subject13_2.edf,2,6.356469424513916e-11,7.244050426151403e-11,8.59893614891232e-11,0.8774744860370831,1.1870342754475738,0.18544891357143362,0.21134393822545436,0.25087249858168903
Subject13,Subject13_2.edf,3,5.86482444771886e-11,6.865990629801079e-11,8.168874880303899e-11,0.8541847438974404,1.1897591069885523,0.18269922567291874,0.2138872497760917,0.2544743032898403
Subject13,Subject13_2.edf,4,6.560519378508215e-11,7.366948066436027e-11,8.503456656215725e-11,0.890534223852898,1.1542712911141122,0.20145138961948714,0.22621409062518372,0.26111243045413557
Subject13,Subject13_2.edf,5,6.217560959096902e-11,7.56881269279327e-11,8.09960443398187e-11,0.8214711093348924,1.0701287986283503,0.18391829565687626,0.2238889396923362,0.2395900020591349
Subject13,Subject13_2.edf,6,7.033975927021112e-11,8.265079478218232e-11,8.704151573500976e-11,0.8510475846673262,1.0531237596008451,0.19192219073979347,0.22551287871266998,0.2374929706682964
Subject13,Subject13_2.edf,7,6.860969793947537e-11,7.704831118920218e-11,8.828618329531095e-11,0.8904763372554046,1.1458548790058838,0.20383631085874399,0.22890704932935244,0.26229425931287903
Subject13,Subject13_2.edf,8,7.085401985597858e-11,8.18455273405082e-11,8.748112955463529e-11,0.8657042377062241,1.068856569164505,0.20652668941348706,0.23856495142117082,0.25499171549892946
Subject13,Subject13_2.edf,9,6.793832692015398e-11,7.748121559606984e-11,9.054665341314854e-11,0.8768361001760031,1.1686271661662138,0.20162847418947175,0.22995001477357035,0.2687258341247165
Subject13,Subject13_2.edf,10,6.699811173214032e-11,7.682332291753732e-11,8.391950189304507e-11,0.8721064019068343,1.0923701124347984,0.20193338810817893,0.23154673290628033,0.2529347306587437
Subject14,Subject14_2.edf,1,6.456837667247993e-11,1.464460183082346e-10,9.662337798681962e-11,0.4409022342729634,0.6597883582157217,0.11721873926878662,0.2658610688650226,0.17541203813993014
Subject14,Subject14_2.edf,2,7.303642601889976e-11,1.5002849391039995e-10,1.0102127245056374e-10,0.4868170313201877,0.6733472410307317,0.11282581371316464,0.23176225656525398,0.15605647603327039
Subject14,Subject14_2.edf,3,7.106781786191918e-11,1.457517684540664e-10,8.890491669178277e-11,0.4875948924373852,0.6099748746431239,0.14446576804322026,0.29628236530753227,0.1807247986374302
Subject14,Subject14_2.edf,4,7.446597976209588e-11,1.548255849197792e-10,9.392927791607374e-11,0.4809668880029062,0.6066780110324914,0.10946285892578343,0.2275891784989615,0.1380733501442686
